year,origin,export_val,import_val,dest
1997,colombia,1258575.0,0.0,Syria
1998,colombia,1259000.0,0.0,Syria
1999,colombia,743485.0,0.0,Syria
2000,colombia,1040079.0,0.0,Syria
2001,colombia,554833.0,0.0,Syria
2002,colombia,33042.0,0.0,Syria
2002,colombia,818833.0,0.0,Syria
2003,colombia,27006.0,0.0,Syria
2003,colombia,616015.0,0.0,Syria
2004,colombia,82153.0,0.0,Syria
2004,colombia,840478.0,0.0,Syria
2005,colombia,1653471.0,0.0,Syria
2006,colombia,3145732.0,0.0,Syria
2007,colombia,2220761.0,0.0,Syria
2008,colombia,221167.0,0.0,Syria
2008,colombia,3707842.0,0.0,Syria
2009,colombia,3333901.0,0.0,Syria
2010,colombia,751938.0,0.0,Syria
2011,colombia,4622176.0,0.0,Syria
2012,colombia,1458406.0,0.0,Syria
2013,colombia,1375364.0,0.0,Syria
2014,colombia,986140.0,0.0,Syria
2015,colombia,2256819.0,0.0,Syria
2016,colombia,1477117.0,0.0,Syria
1962,colombia,21000.0,0.0,Austria
1963,colombia,1454000.0,0.0,Austria
1964,colombia,1612000.0,0.0,Austria
1965,colombia,1785000.0,0.0,Austria
1966,colombia,1638000.0,0.0,Austria
1967,colombia,1881000.0,0.0,Austria
1968,colombia,2249000.0,0.0,Austria
1969,colombia,2707000.0,0.0,Austria
1970,colombia,3145000.0,0.0,Austria
1971,colombia,3500000.0,0.0,Austria
1972,colombia,3942000.0,0.0,Austria
1973,colombia,3943000.0,0.0,Austria
1974,colombia,4924000.0,0.0,Austria
1975,colombia,5095000.0,0.0,Austria
1976,colombia,41000.0,0.0,Austria
1976,colombia,7222000.0,0.0,Austria
1977,colombia,11662000.0,0.0,Austria
1978,colombia,19077000.0,0.0,Austria
1979,colombia,27853000.0,0.0,Austria
1980,colombia,635000.0,0.0,Austria
1980,colombia,31499000.0,0.0,Austria
1981,colombia,25460000.0,0.0,Austria
1982,colombia,20134000.0,0.0,Austria
1983,colombia,214000.0,0.0,Austria
1983,colombia,18816000.0,0.0,Austria
1984,colombia,273955.0,0.0,Austria
1984,colombia,17442262.0,0.0,Austria
1985,colombia,285726.0,0.0,Austria
1985,colombia,19074922.0,0.0,Austria
1986,colombia,163813.0,0.0,Austria
1986,colombia,49314364.0,0.0,Austria
1987,colombia,298347.0,0.0,Austria
1987,colombia,24105954.0,0.0,Austria
1988,colombia,75976.0,0.0,Austria
1988,colombia,18719619.0,0.0,Austria
1989,colombia,5529.0,0.0,Austria
1989,colombia,18353197.0,0.0,Austria
1990,colombia,15160.0,0.0,Austria
