month,price_per_pound
Apr-97,215.45
May-97,262.92
Jun-97,247.75
Jul-97,201.06
Aug-97,204.88
Sep-97,206.63
Oct-97,177.46
Nov-97,171.28
Dec-97,184.06
Jan-98,185.01
Feb-98,189.17
Mar-98,164.94
Apr-98,160.53
May-98,146.14
Jun-98,135.53
Jul-98,127.25
Aug-98,138.36
Sep-98,123.65
Oct-98,121.99
Nov-98,131.16
Dec-98,130.94
Jan-99,129.44
Feb-99,120.30
Mar-99,120.80
Apr-99,117.19
May-99,127.71
Jun-99,124.55
Jul-99,111.95
Aug-99,107.54
Sep-99,102.92
Oct-99,105.77
Nov-99,123.11
Dec-99,138.19
Jan-00,126.56
Feb-00,119.87
Mar-00,117.69
Apr-00,109.77
May-00,111.84
Jun-00,102.40
Jul-00,103.78
Aug-00,90.77
Sep-00,91.94
Oct-00,91.68
Nov-00,82.25
Dec-00,78.94
Jan-01,76.97
Feb-01,73.75
Mar-01,74.25
Apr-01,76.11
May-01,81.36
Jun-01,72.03
Jul-01,69.28
Aug-01,70.17
Sep-01,70.16
Oct-01,63.14
Nov-01,62.45
Dec-01,62.40
Jan-02,62.46
Feb-02,60.74
Mar-02,68.60
Apr-02,68.28
May-02,65.70
Jun-02,61.49
Jul-02,60.89
Aug-02,56.92
Sep-02,64.10
Oct-02,67.85
Nov-02,70.02
Dec-02,65.61
Jan-03,67.03
Feb-03,67.01
Mar-03,62.83
Apr-03,65.08
May-03,66.16
Jun-03,61.74
Jul-03,64.59
Aug-03,65.85
Sep-03,67.65
Oct-03,66.10
Nov-03,64.96
Dec-03,66.51
Jan-04,71.32
Feb-04,76.59
Mar-04,78.26
Apr-04,75.66
May-04,76.24
Jun-04,83.31
Jul-04,77.32
Aug-04,74.79
Sep-04,80.35
Oct-04,83.34
Nov-04,90.88
Dec-04,104.89
Jan-05,107.88
Feb-05,119.38
Mar-05,135.56
Apr-05,129.00
May-05,130.19
Jun-05,123.67
Jul-05,112.32
Aug-05,109.75
Sep-05,102.81
Oct-05,104.68
Nov-05,109.14
Dec-05,107.12
Jan-06,124.30
Feb-06,123.04
Mar-06,116.94
Apr-06,117.42
May-06,113.79
Jun-06,106.13
Jul-06,107.62
Aug-06,113.38
Sep-06,112.96
Oct-06,112.29
Nov-06,122.23
Dec-06,131.61
Jan-07,127.17
Feb-07,123.85
Mar-07,119.49
Apr-07,116.96
May-07,114.91
Jun-07,120.63
Jul-07,120.83
Aug-07,125.05
Sep-07,129.06
Oct-07,137.10
Nov-07,132.62
Dec-07,139.77
Jan-08,142.25
Feb-08,155.18
Mar-08,157.10
Apr-08,141.51
May-08,143.72
Jun-08,146.78
Jul-08,153.34
Aug-08,150.13
Sep-08,150.28
Oct-08,133.29
Nov-08,129.87
Dec-08,131.42
Jan-09,139.17
Feb-09,145.22
Mar-09,151.36
Apr-09,177.39
May-09,206.06
Jun-09,200.91
Jul-09,186.97
Aug-09,187.86
Sep-09,178.01
Oct-09,177.52
Nov-09,177.49
Dec-09,191.17
Jan-10,204.67
Feb-10,205.19
Mar-10,205.55
Apr-10,201.94
May-10,199.37
Jun-10,219.27
Jul-10,235.58
Aug-10,243.69
Sep-10,248.52
Oct-10,230.83
Nov-10,243.90
Dec-10,256.60
Jan-11,279.36
Feb-11,294.56
Mar-11,301.11
Apr-11,308.55
May-11,306.95
Jun-11,288.57
Jul-11,286.76
Aug-11,281.80
Sep-11,296.13
Oct-11,258.24
Nov-11,256.94
Dec-11,252.74
Jan-12,256.12
Feb-12,246.30
Mar-12,226.07
Apr-12,215.29
May-12,209.51
Jun-12,185.88
Jul-12,200.92
Aug-12,188.58
Sep-12,189.28
Oct-12,183.16
Nov-12,171.10
Dec-12,166.05
Jan-13,168.83
Feb-13,162.53
Mar-13,161.75
Apr-13,162.19
May-13,160.00
Jun-13,148.42
Jul-13,147.53
Aug-13,144.29
Sep-13,139.12
Oct-13,135.17
Nov-13,125.36
Dec-13,125.92
Jan-14,131.97
Feb-14,159.68
Mar-14,210.15
Apr-14,216.08
May-14,216.42
Jun-14,195.87
Jul-14,193.03
Aug-14,210.41
Sep-14,208.10
Oct-14,223.10
Nov-14,206.74
Dec-14,193.33
Jan-15,185.31
Feb-15,177.09
Mar-15,155.88
Apr-15,156.46
May-15,152.33
Jun-15,151.13
Jul-15,145.92
Aug-15,147.13
Sep-15,136.42
Oct-15,142.78
Nov-15,138.40
Dec-15,139.69
Jan-16,136.43
Feb-16,137.19
Mar-16,144.37
Apr-16,144.55
May-16,144.58
Jun-16,153.94
Jul-16,164.04
Aug-16,160.73
Sep-16,167.62
Oct-16,170.55
Nov-16,179.78
Dec-16,160.92
Jan-17,163.71
Feb-17,164.81
Mar-17,159.23
Apr-17,156.00
May-17,151.24
Jun-17,146.86
Jul-17,150.91
Aug-17,156.46
Sep-17,151.57
Oct-17,145.01
Nov-17,143.85
Dec-17,142.51
Jan-18,143.48
Feb-18,142.35
Mar-18,139.79
Apr-18,139.00
May-18,140.50
Jun-18,139.17
Jul-18,134.85
Aug-18,130.99
Sep-18,126.53
Oct-18,138.80
Nov-18,140.75
Dec-18,129.62
Jan-19,128.68
Feb-19,128.97
Mar-19,125.47
Apr-19,124.07
May-19,123.13
Jun-19,132.77
Jul-19,138.41
Aug-19,129.89
Sep-19,131.36
Oct-19,131.88
Nov-19,143.52
