date,excelso_price_cents_per_pound
1985-06-01,143.89
1985-07-01,137.07
1985-08-01,135.48
1985-09-01,135.48
1985-10-01,142.51
1985-11-01,157.65
1985-12-01,198.95
1986-01-01,239.87
1986-02-01,230.19
1986-03-01,241.6
1986-04-01,228.04
1986-05-01,213.34
1986-06-01,179.08
1986-07-01,174.31
1986-08-01,175.86
1986-09-01,201.5
1986-10-01,179.59
1986-11-01,158.69
1986-12-01,138.23
1987-01-01,125.53
1987-02-01,122.96
1987-03-01,105.77
1987-04-01,109.55
1987-05-01,119.3
1987-06-01,107.12
1987-07-01,101.9
1987-08-01,104.19
1987-09-01,112.52
1987-10-01,123.84
1987-11-01,130.1
1987-12-01,130.4
1988-01-01,131.54
1988-02-01,142.96
1988-03-01,141.7
1988-04-01,141.88
1988-05-01,142.86
1988-06-01,150.14
1988-07-01,148.37
1988-08-01,136.67
1988-09-01,141.73
1988-10-01,140.1
1988-11-01,142.34
1988-12-01,154.94
1989-01-01,164.31
1989-02-01,150.76
1989-03-01,150.19
1989-04-01,153.03
1989-05-01,151.14
1989-06-01,132.72
1989-07-01,96.16
1989-08-01,82.72
1989-09-01,84.18
1989-10-01,74.78
1989-11-01,76.27
1989-12-01,77.54
1990-01-01,81.62
1990-02-01,87.54
1990-03-01,99.66
1990-04-01,100.07
1990-05-01,98.53
1990-06-01,95.69
1990-07-01,91.68
1990-08-01,99.92
1990-09-01,102.04
1990-10-01,98.03
1990-11-01,91.11
1990-12-01,95.17
1991-01-01,91.53
1991-02-01,92.47
1991-03-01,97.31
1991-04-01,96.26
1991-05-01,92.34
1991-06-01,90.25
1991-07-01,89.07
1991-08-01,87.48
1991-09-01,95.14
1991-10-01,86.86
1991-11-01,86.75
1991-12-01,84.1
1992-01-01,80.75
1992-02-01,73.01
1992-03-01,74.94
1992-04-01,71.96
1992-05-01,66.6
1992-06-01,65.47
1992-07-01,63.09
1992-08-01,56.6
1992-09-01,57.08
1992-10-01,64.82
1992-11-01,71.52
1992-12-01,82.21
1993-01-01,72.47
1993-02-01,69.21
1993-03-01,69.06
1993-04-01,63.39
1993-05-01,69.3
1993-06-01,71.0
1993-07-01,79.25
1993-08-01,84.85
1993-09-01,87.88
1993-10-01,83.79
1993-11-01,85.07
1993-12-01,86.58
1994-01-01,86.22
1994-02-01,92.0
1994-03-01,92.66
1994-04-01,94.56
1994-05-01,128.71
1994-06-01,150.16
1994-07-01,227.27
1994-08-01,210.91
1994-09-01,231.88
1994-10-01,209.24
1994-11-01,188.33
1994-12-01,175.38
1995-01-01,179.48
1995-02-01,175.23
1995-03-01,187.67
1995-04-01,182.61
1995-05-01,182.71
1995-06-01,181.0
1995-07-01,169.47
1995-08-01,163.25
1995-09-01,145.41
1995-10-01,134.94
1995-11-01,133.02
1995-12-01,114.34
